episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
517,113.26399999999902,4,500,0.5,0.0,152,29,39,247
518,-1.1960000000000064,0,500,0.0,0.0,311,64,28,296
519,27.834000000000184,1,500,0.125,0.0,306,37,57,277
520,11.395999999999962,0,500,0.0,0.0,356,41,64,456
521,1.0060000000000036,0,500,0.0,0.0,333,36,65,316
522,-3.048000000000009,0,500,0.0,0.0,135,22,34,248
523,-5.750000000000011,0,500,0.0,0.0,97,11,18,189
524,-5.068000000000011,0,500,0.0,0.0,94,21,22,190
525,-4.21800000000001,0,500,0.0,0.0,125,9,51,242
526,1.9759999999999927,0,500,0.0,0.0,154,39,54,437
527,2.59,0,500,0.0,0.0,471,57,71,383
528,1.287999999999995,0,500,0.0,0.0,202,45,57,435
529,-4.214000000000005,0,500,0.0,0.0,104,20,35,231
530,2.0619999999999963,0,500,0.0,0.0,375,49,50,381
531,-1.2420000000000044,0,500,0.0,0.0,198,32,49,329
532,0.5799999999999974,0,500,0.0,0.0,155,24,50,322
533,-1.2820000000000045,0,500,0.0,0.0,293,32,42,322
534,-5.710000000000018,0,500,0.0,0.0,597,76,82,333
535,37.16399999999997,1,500,0.125,0.0,227,33,56,443
536,-1.0700000000000045,0,500,0.0,0.0,289,46,44,345
537,-5.070000000000007,0,500,0.0,0.0,244,55,44,298
538,-3.734000000000006,0,500,0.0,0.0,593,90,65,366
539,-0.8580000000000065,0,500,0.0,0.0,305,61,66,389
540,-4.67400000000001,0,500,0.0,0.0,351,52,24,232
541,4.642000000000015,0,500,0.0,0.0,229,63,66,501
542,14.423999999999994,0,500,0.0,0.0,275,73,50,532
543,-5.882000000000008,0,500,0.0,0.0,339,49,40,282
544,-0.15400000000001024,0,500,0.0,0.0,414,70,66,372
545,-0.9100000000000087,0,500,0.0,0.0,372,49,67,336
546,-1.8940000000000095,0,500,0.0,0.0,483,66,69,359
547,-4.098000000000009,0,500,0.0,0.0,576,56,67,290
548,-4.99800000000001,0,500,0.0,0.0,472,57,75,314
549,-7.893999999999994,0,500,0.0,0.0,515,65,37,198
550,2.8799999999999946,0,500,0.0,0.0,306,46,60,391
551,-4.846000000000006,0,500,0.0,0.0,420,65,48,322
552,-8.536000000000001,0,500,0.0,0.0,286,24,38,211
553,-6.244000000000005,0,500,0.0,0.0,291,36,58,324
554,61.811999999999955,2,500,0.25,0.0,454,63,71,396
555,0.5080000000000185,0,500,0.0,0.0,314,45,50,338
556,-2.4580000000000055,0,500,0.0,0.0,380,45,27,249
557,-1.4740000000000069,0,500,0.0,0.0,230,33,41,350
558,-5.280000000000006,0,500,0.0,0.0,422,49,44,293
559,6.207999999999992,0,500,0.0,0.0,235,69,48,450
560,-15.895999999999919,0,500,0.0,0.0,707,60,58,212
561,8.143999999999998,0,500,0.0,0.0,355,73,61,522
562,-11.948000000000013,0,500,0.0,0.0,187,22,31,180
563,92.66799999999951,3,500,0.375,0.0,240,27,87,417
