episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1011,144.3349999999934,6,500,0.75,179,67,49,381
1012,312.7649999999984,8,173,1.0,40,17,23,159
1013,89.47500000000154,4,500,0.5,146,62,45,398
1014,90.40000000000192,4,500,0.5,49,15,34,213
1015,174.794999999995,7,500,0.875,38,35,38,342
1016,34.67999999999985,2,500,0.25,75,26,64,294
1017,64.72000000000241,3,500,0.375,47,20,31,243
1018,36.95999999999792,2,500,0.25,96,41,39,310
1019,308.19999999999806,8,284,1.0,23,21,32,219
1020,311.61499999999717,8,260,1.0,63,26,24,233
1021,120.0600000000017,5,500,0.625,1,12,67,431
1022,314.05999999999926,8,127,1.0,29,14,18,140
1023,86.97000000000224,4,500,0.5,106,25,70,361
1024,310.56999999999937,8,252,1.0,12,21,12,165
1025,119.42000000000192,5,500,0.625,120,33,40,329
1026,37.02999999999837,2,500,0.25,116,42,24,262
1027,314.62499999999943,8,84,1.0,12,10,9,72
1028,35.63500000000002,2,500,0.25,61,19,36,264
1029,64.07500000000007,3,500,0.375,40,13,55,269
1030,-20.899999999999725,0,500,0.0,71,46,17,223
1031,301.964999999999,8,454,1.0,30,23,22,188
1032,312.7899999999982,8,141,1.0,47,7,19,98
1033,303.7299999999965,8,489,1.0,51,44,52,432
1034,61.860000000001556,3,500,0.375,143,18,45,217
1035,303.66999999999683,8,415,1.0,28,23,27,226
1036,312.34999999999906,8,165,1.0,22,21,15,156
1037,116.2850000000025,5,500,0.625,34,23,31,189
1038,308.9849999999975,8,325,1.0,70,55,21,357
1039,151.93999999999346,6,500,0.75,68,90,21,513
1040,308.4549999999968,8,313,1.0,84,40,13,228
1041,115.74500000000103,5,500,0.625,111,44,49,330
1042,142.6049999999939,6,500,0.75,189,47,71,385
1043,303.4350000000007,8,374,1.0,70,34,53,304
1044,311.07499999999925,8,199,1.0,13,17,12,128
1045,300.2549999999942,8,424,1.0,118,18,61,230
1046,146.15500000000011,6,500,0.75,50,37,21,287
1047,308.91499999999735,8,272,1.0,66,42,34,279
1048,114.48500000000037,5,500,0.625,99,42,53,286
1049,309.6499999999994,8,185,1.0,54,16,24,134
1050,120.1700000000003,5,500,0.625,97,60,40,414
1051,63.20000000000143,3,500,0.375,101,17,49,244
1052,302.69999999999663,8,478,1.0,76,36,45,345
1053,307.52499999999895,8,235,1.0,19,20,17,116
1054,154.12499999999494,6,500,0.75,110,73,73,659
1055,305.6899999999978,8,364,1.0,62,28,29,243
1056,147.5049999999929,6,500,0.75,47,26,46,307
1057,117.14500000000145,5,500,0.625,54,20,19,186
