episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1514,65.52999999999966,3,500,0.375,129,71,78,539
1515,301.9200000000001,8,405,1.0,119,48,54,420
1516,-12.814999999999998,0,500,0.0,178,56,58,489
1517,294.515,8,365,1.0,90,58,47,393
1518,36.250000000000014,2,500,0.25,129,64,79,545
1519,171.56499999999994,7,500,0.875,148,67,78,519
1520,174.81999999999994,7,500,0.875,132,53,62,517
1521,302.3599999999999,8,395,1.0,80,54,56,444
1522,301.45499999999987,8,486,1.0,109,71,65,539
1523,71.65000000000002,3,500,0.375,139,72,64,530
1524,142.16499999999982,6,500,0.75,152,65,75,487
1525,169.81000000000003,7,500,0.875,146,69,74,522
1526,-4.43499999999999,0,500,0.0,153,67,72,530
1527,121.06000000000003,5,500,0.625,140,71,76,549
1528,292.875,8,441,1.0,142,55,64,432
1529,-9.29999999999999,0,500,0.0,107,72,58,554
1530,172.8099999999999,7,500,0.875,132,78,74,566
1531,91.55499999999974,4,500,0.5,149,68,58,515
1532,142.22999999999965,6,500,0.75,146,66,86,529
1533,-14.31499999999999,0,500,0.0,161,64,63,489
1534,123.4649999999997,5,500,0.625,163,52,77,498
1535,294.5500000000001,8,495,1.0,128,69,72,547
1536,15.745000000000005,1,500,0.125,119,54,79,538
1537,71.43999999999998,3,500,0.375,153,77,59,538
1538,145.6200000000001,6,500,0.75,130,74,72,546
1539,172.88499999999988,7,500,0.875,128,72,67,575
1540,60.62500000000003,3,500,0.375,154,63,66,510
1541,171.68499999999992,7,500,0.875,124,64,73,548
1542,122.86000000000003,5,500,0.625,148,60,59,518
1543,149.14000000000004,6,500,0.75,111,61,67,552
1544,-4.489999999999996,0,500,0.0,169,81,76,517
1545,109.625,5,500,0.625,184,71,69,481
1546,-8.915,0,500,0.0,110,63,68,518
1547,69.48999999999995,3,500,0.375,146,62,76,528
1548,150.69499999999988,6,500,0.75,103,75,60,568
1549,170.37499999999991,7,500,0.875,163,65,69,512
1550,-5.965000000000002,0,500,0.0,131,43,65,539
1551,-4.764999999999995,0,500,0.0,159,77,61,511
1552,-4.205,0,500,0.0,144,54,68,507
1553,170.81000000000006,7,500,0.875,141,82,64,533
1554,-8.405,0,500,0.0,153,68,58,514
1555,-12.749999999999988,0,500,0.0,114,56,57,543
1556,-12.55999999999999,0,500,0.0,186,59,61,478
1557,69.59999999999998,3,500,0.375,184,67,74,493
1558,176.8150000000001,7,500,0.875,127,63,56,530
1559,146.75499999999997,6,500,0.75,146,71,62,530
1560,16.254999999999978,1,500,0.125,136,83,68,542
1561,173.16999999999982,7,500,0.875,137,61,70,512
1562,145.63499999999996,6,500,0.75,136,78,63,541
1563,146.67999999999995,6,500,0.75,149,69,60,521
1564,61.2199999999995,3,500,0.375,148,61,62,510
1565,171.22499999999985,7,500,0.875,164,68,61,482
1566,147.52999999999992,6,500,0.75,139,58,63,508
1567,120.49999999999974,5,500,0.625,145,53,75,516
1568,62.80999999999955,3,500,0.375,181,65,76,476
1569,175.38500000000016,7,500,0.875,144,47,45,493
1570,296.0699999999995,8,435,1.0,96,50,59,497
