episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
213,-17.684999999999796,0,500,0.0,18,4,3
214,-20.17499999999977,0,500,0.0,6,0,13
215,-21.13500000000001,0,500,0.0,37,16,4
216,-20.044999999999764,0,500,0.0,12,4,4
217,-20.369999999999855,0,500,0.0,132,38,6
218,-21.63999999999982,0,500,0.0,113,26,18
219,28.200000000000077,2,500,0.25,138,30,14
220,-24.92499999999989,0,500,0.0,426,52,79
221,-20.459999999999773,0,500,0.0,35,3,15
222,-31.00000000000004,0,500,0.0,280,78,5
223,-31.569999999999833,0,500,0.0,474,80,65
224,-32.85999999999979,0,500,0.0,547,93,76
225,-27.219999999999818,0,500,0.0,295,83,21
226,-34.71500000000016,0,500,0.0,279,30,47
227,-20.939999999999948,0,500,0.0,108,16,52
228,-20.88499999999982,0,500,0.0,162,37,17
229,-19.199999999999815,0,500,0.0,83,18,37
230,-22.680000000000025,0,500,0.0,85,30,48
231,-30.185000000000077,0,500,0.0,54,4,26
232,-26.145000000000017,0,500,0.0,359,76,43
233,-21.979999999999997,0,500,0.0,154,65,23
234,34.26000000000007,2,500,0.25,169,28,70
235,-17.58999999999996,0,500,0.0,113,4,94
236,-18.175000000000004,0,500,0.0,143,71,60
237,-19.970000000000006,0,500,0.0,142,19,96
238,-2.9899999999999167,1,500,0.125,454,92,72
239,-15.214999999999925,0,500,0.0,235,69,14
240,-23.66499999999989,0,500,0.0,263,19,100
241,-20.11499999999989,0,500,0.0,276,61,37
242,-19.034999999999854,0,500,0.0,59,8,21
243,-24.4099999999999,0,500,0.0,263,32,104
244,-19.82499999999985,0,500,0.0,127,4,79
245,-24.49499999999984,0,500,0.0,258,57,45
246,-28.810000000000052,0,500,0.0,89,12,30
247,-19.389999999999894,0,500,0.0,68,0,74
248,-20.674999999999912,0,500,0.0,8,3,10
249,-27.080000000000066,0,500,0.0,111,27,12
250,-20.4399999999998,0,500,0.0,15,6,20
251,-30.25000000000012,0,500,0.0,8,5,18
252,-19.10499999999978,0,500,0.0,9,3,4
253,-17.749999999999847,0,500,0.0,134,49,11
254,-31.60500000000016,0,500,0.0,98,14,20
255,-20.129999999999768,0,500,0.0,8,6,5
256,-16.50999999999997,0,500,0.0,51,28,3
257,-19.584999999999777,0,500,0.0,4,0,5
258,-26.499999999999904,0,500,0.0,322,61,68
259,-20.134999999999877,0,500,0.0,3,4,1
260,-17.134999999999856,0,500,0.0,179,42,14
261,-18.64999999999981,0,500,0.0,20,8,7
262,-11.609999999999962,0,500,0.0,186,52,83
263,-19.489999999999927,0,500,0.0,118,5,53
264,-14.974999999999934,0,500,0.0,91,37,62
265,-22.704999999999934,0,500,0.0,14,3,1
266,-16.369999999999948,0,500,0.0,43,39,2
267,-15.245000000000005,0,500,0.0,83,67,11
268,-22.659999999999933,0,500,0.0,108,72,3
269,-33.30000000000018,0,500,0.0,11,3,6
270,-15.669999999999945,0,500,0.0,183,76,21
271,-20.559999999999857,0,500,0.0,268,81,6
272,-32.3,0,500,0.0,233,86,20
273,-26.22999999999999,0,500,0.0,173,69,21
274,-20.389999999999905,0,500,0.0,203,62,6
275,-19.12999999999978,0,500,0.0,8,2,2
276,-26.985000000000035,0,500,0.0,94,11,19
277,-15.884999999999899,0,500,0.0,39,22,34
278,-22.184999999999835,0,500,0.0,49,31,35
279,-24.690000000000055,0,500,0.0,71,30,3
280,-26.825000000000177,0,500,0.0,49,11,13
281,-19.514999999999926,0,500,0.0,131,24,50
282,-22.529999999999948,0,500,0.0,58,5,24
283,-20.439999999999994,0,500,0.0,216,21,64
284,-21.71000000000002,0,500,0.0,80,16,29
285,-12.425,0,500,0.0,11,24,75
286,-22.000000000000053,0,500,0.0,102,39,24
287,-19.2049999999998,0,500,0.0,7,3,11
288,36.185,2,500,0.25,72,62,37
289,-23.990000000000006,0,500,0.0,12,30,5
