episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
412,309.30000000000007,8,287,1.0,67,25,36
413,303.6450000000001,8,318,1.0,89,28,18
414,173.74000000000012,7,500,0.875,84,47,74
415,174.22499999999954,7,500,0.875,108,66,49
416,175.4749999999997,7,500,0.875,106,59,44
417,148.82000000000002,6,500,0.75,129,67,46
418,304.1749999999997,8,384,1.0,77,46,41
419,120.31999999999933,5,500,0.625,137,75,63
420,305.52,8,353,1.0,80,52,34
421,312.26499999999993,8,145,1.0,20,14,16
422,168.7150000000002,7,500,0.875,124,70,55
423,303.75,8,259,1.0,57,37,33
424,307.59500000000014,8,354,1.0,60,44,44
425,142.64000000000016,6,500,0.75,123,58,50
426,175.85500000000013,7,500,0.875,134,65,47
427,145.45000000000044,6,500,0.75,124,61,54
428,313.585,8,103,1.0,14,15,10
429,145.0900000000005,6,500,0.75,99,60,59
430,87.11999999999942,4,500,0.5,198,67,69
431,122.4849999999992,5,500,0.625,137,65,49
432,175.36999999999964,7,500,0.875,148,68,57
433,309.225,8,282,1.0,55,31,26
434,171.15500000000029,7,500,0.875,131,56,60
435,172.69999999999956,7,500,0.875,175,57,73
436,306.7750000000001,8,420,1.0,84,42,53
437,176.7950000000001,7,500,0.875,114,48,62
438,301.875,8,336,1.0,57,38,9
439,139.83500000000063,6,500,0.75,69,63,15
440,311.37499999999994,8,148,1.0,24,23,19
441,174.41499999999988,7,500,0.875,110,61,57
442,9.065000000000083,1,500,0.125,143,53,55
443,121.83499999999978,5,500,0.625,137,68,66
444,147.47499999999982,6,500,0.75,133,60,77
445,304.72499999999957,8,393,1.0,91,41,44
446,310.67499999999984,8,180,1.0,24,17,16
447,312.9549999999999,8,227,1.0,48,28,17
448,35.9750000000002,2,500,0.25,159,62,65
449,299.83500000000015,8,470,1.0,87,62,62
450,173.4599999999999,7,500,0.875,124,64,69
451,309.83999999999986,8,269,1.0,56,44,25
452,309.41499999999985,8,197,1.0,41,32,33
453,306.3249999999998,8,351,1.0,53,49,37
454,309.93000000000023,8,260,1.0,32,30,15
455,293.2250000000001,8,462,1.0,52,52,13
456,174.76499999999996,7,500,0.875,130,80,44
457,305.7600000000002,8,211,1.0,19,20,15
458,303.8150000000003,8,272,1.0,33,32,21
459,305.9600000000002,8,277,1.0,66,32,27
460,305.03499999999997,8,377,1.0,86,54,39
461,37.39500000000013,2,500,0.25,188,70,49
462,146.67499999999995,6,500,0.75,127,76,67
463,306.6350000000001,8,426,1.0,95,53,43
464,146.79000000000033,6,500,0.75,137,54,53
465,313.07,8,129,1.0,13,20,10
466,309.5949999999999,8,264,1.0,38,42,26
467,304.0849999999999,8,472,1.0,129,59,46
468,304.78999999999996,8,320,1.0,91,39,37
469,307.79999999999995,8,189,1.0,45,33,19
470,302.615,8,282,1.0,31,24,9
471,299.6450000000002,8,448,1.0,89,45,32
472,302.47499999999934,8,362,1.0,55,52,60
473,312.44999999999993,8,155,1.0,32,21,22
474,176.19500000000036,7,500,0.875,124,52,57
475,116.28999999999972,5,500,0.625,135,75,66
476,298.53500000000054,8,478,1.0,75,58,47
477,11.245000000000031,1,500,0.125,76,63,13
478,149.96499999999958,6,500,0.75,99,79,72
479,296.71500000000003,8,413,1.0,86,46,54
480,5.9900000000000535,1,500,0.125,168,79,64
481,308.32499999999993,8,344,1.0,89,41,38
482,308.8249999999998,8,261,1.0,51,32,26
483,173.84999999999994,7,500,0.875,100,72,62
484,306.3149999999998,8,359,1.0,76,41,46
485,303.7500000000002,8,366,1.0,63,44,26
486,139.71000000000006,6,500,0.75,188,79,64
487,303.55500000000006,8,351,1.0,72,44,55
488,300.4700000000001,8,417,1.0,161,55,40
489,175.21499999999997,7,500,0.875,79,52,75
490,299.65500000000014,8,484,1.0,117,60,59
491,176.7700000000003,7,500,0.875,114,57,56
492,307.7900000000004,8,300,1.0,33,29,32
493,308.985,8,203,1.0,26,20,27
494,298.24500000000046,8,355,1.0,32,27,21
495,311.1750000000002,8,182,1.0,20,22,15
496,-10.140000000000027,0,500,0.0,73,46,19
497,310.84000000000003,8,180,1.0,44,24,23
498,143.7150000000013,6,500,0.75,76,37,24
499,310.75,8,229,1.0,46,34,18
500,312.015,8,139,1.0,29,20,18
501,301.41500000000053,8,411,1.0,74,38,22
502,309.28,8,326,1.0,61,29,46
503,311.21000000000004,8,200,1.0,28,25,20
504,177.09499999999971,7,500,0.875,113,47,62
505,8.120000000000084,1,500,0.125,116,73,61
506,93.5599999999994,4,500,0.5,154,60,62
507,39.24000000000012,2,500,0.25,152,63,74
508,121.58999999999958,5,500,0.625,79,65,54
509,141.715,6,500,0.75,130,58,73
510,35.10000000000018,2,500,0.25,145,69,54
511,146.06500000000028,6,500,0.75,134,61,73
512,147.43000000000038,6,500,0.75,139,67,59
513,302.9700000000001,8,299,1.0,61,30,19
514,305.79500000000013,8,283,1.0,48,49,34
515,176.77000000000038,7,500,0.875,114,52,57
516,308.7599999999999,8,209,1.0,39,28,17
517,290.905,8,431,1.0,66,48,3
518,304.0900000000004,8,303,1.0,71,33,22
519,308.6899999999999,8,448,1.0,75,50,48
520,147.74000000000075,6,500,0.75,120,60,47
521,304.6250000000001,8,321,1.0,49,38,11
522,308.30499999999995,8,279,1.0,53,34,25
523,141.55000000000015,6,500,0.75,141,61,53
524,305.05499999999984,8,471,1.0,81,62,52
525,172.18000000000035,7,500,0.875,112,54,45
526,173.7650000000002,7,500,0.875,138,64,48
527,175.32999999999973,7,500,0.875,77,52,64
528,146.12000000000015,6,500,0.75,105,52,69
529,147.35000000000008,6,500,0.75,155,65,61
530,169.36500000000032,7,500,0.875,91,52,51
531,304.06999999999994,8,396,1.0,94,55,39
532,306.8849999999999,8,306,1.0,90,37,46
533,309.2549999999999,8,258,1.0,51,26,45
534,307.89,8,237,1.0,37,19,18
535,305.6799999999997,8,346,1.0,83,45,45
536,178.09500000000017,7,500,0.875,150,48,52
537,5.485000000000071,1,500,0.125,156,55,74
538,87.63999999999952,4,500,0.5,152,65,83
