episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
1669,46.00999999999998,2,1000,0.25,0.0,568,104,83,647
1670,3.896000000000502,1,1000,0.125,0.0,159,25,44,245
1671,-14.22599999999996,0,1000,0.0,0.0,1060,117,136,622
1672,-27.31399999999956,0,1000,0.0,0.0,473,93,55,358
1673,28.474000000000267,2,1000,0.25,0.0,808,95,77,400
1674,1.1380000000003359,1,1000,0.125,0.0,484,64,57,329
1675,-30.055999999999628,0,1000,0.0,0.0,322,75,25,304
1676,-22.54199999999979,0,1000,0.0,0.0,630,127,102,802
1677,-7.208000000000013,0,1000,0.0,0.0,530,108,98,821
1678,9.48799999999996,0,1000,0.0,0.0,621,134,63,740
1679,-8.511999999999997,0,1000,0.0,0.0,678,133,77,682
1680,16.20400000000018,1,1000,0.125,0.0,562,87,109,814
1681,-10.499999999999844,0,1000,0.0,0.0,749,87,118,604
1682,-1.652000000000014,0,1000,0.0,0.0,619,112,121,860
1683,-4.910000000000014,0,1000,0.0,0.0,831,85,139,629
1684,22.886000000000152,1,1000,0.125,0.0,557,123,58,703
1685,-7.496000000000014,0,1000,0.0,0.0,662,135,67,674
1686,38.546000000000184,2,1000,0.25,0.0,648,135,41,491
1687,-29.39399999999973,0,1000,0.0,0.0,506,26,115,346
1688,-27.305999999999724,0,1000,0.0,0.0,662,80,63,327
1689,-31.825999999999592,0,1000,0.0,0.0,1274,125,123,472
1690,-30.481999999999815,0,1000,0.0,0.0,260,30,43,291
1691,-15.093999999999918,0,1000,0.0,0.0,893,119,79,529
1692,4.156000000000003,0,1000,0.0,0.0,824,138,141,960
1693,-29.253999999999603,0,1000,0.0,0.0,983,92,145,508
1694,-23.79399999999967,0,1000,0.0,0.0,1066,89,127,487
1695,-22.171999999999745,0,1000,0.0,0.0,618,81,113,742
1696,7.215999999999999,0,1000,0.0,0.0,646,115,148,1119
1697,-19.637999999999664,0,1000,0.0,0.0,801,101,138,679
1698,-8.975999999999996,0,1000,0.0,0.0,1032,137,155,871
1699,-11.547999999999952,0,1000,0.0,0.0,980,136,123,659
1700,-41.03999999999994,0,1000,0.0,0.0,312,61,55,351
1701,-14.637999999999906,0,1000,0.0,0.0,824,128,50,475
1702,1.14199999999999,0,1000,0.0,0.0,916,149,135,855
1703,-3.3360000000000074,0,1000,0.0,0.0,886,134,139,981
1704,87.66799999999883,3,1000,0.375,0.0,538,96,99,722
1705,-26.873999999999683,0,1000,0.0,0.0,486,65,42,378
1706,-16.111999999999913,0,1000,0.0,0.0,400,61,58,462
1707,43.35800000000013,2,1000,0.25,0.0,898,114,124,621
1708,-24.28799999999986,0,1000,0.0,0.0,827,117,74,558
1709,14.504000000000723,1,1000,0.125,0.0,753,118,67,624
1710,16.87800000000037,1,1000,0.125,0.0,681,110,88,736
1711,1.3859999999999884,0,1000,0.0,0.0,566,123,103,927
1712,-1.2959999999999978,0,1000,0.0,0.0,519,92,100,906
1713,61.011999999996746,3,1000,0.375,0.0,559,93,35,320
1714,5.642000000000009,0,1000,0.0,0.0,474,114,135,1016
1715,-1.1860000000000108,0,1000,0.0,0.0,370,114,96,913
1716,2.641999999999992,0,1000,0.0,0.0,322,129,78,959
1717,-3.1879999999999957,0,1000,0.0,0.0,587,167,94,883
1718,7.864000000000024,0,1000,0.0,0.0,532,129,92,1060
1719,-9.511999999999988,0,1000,0.0,0.0,588,75,112,790
1720,20.938000000000272,1,1000,0.125,0.0,563,108,102,818
1721,21.99000000000015,2,1000,0.25,0.0,389,73,39,348
1722,-21.017999999999695,0,1000,0.0,0.0,608,67,115,574
1723,-18.217999999999783,0,1000,0.0,0.0,398,76,97,725
1724,-4.846000000000009,0,1000,0.0,0.0,442,96,115,929
1725,-4.860000000000015,0,1000,0.0,0.0,329,72,89,856
1726,-11.191999999999938,0,1000,0.0,0.0,432,87,121,849
1727,-7.854000000000009,0,1000,0.0,0.0,337,80,93,859
1728,-7.056000000000006,0,1000,0.0,0.0,393,81,109,842
1729,40.086000000000155,2,1000,0.25,0.0,438,51,94,466
1730,-19.713999999999736,0,1000,0.0,0.0,669,111,87,594
1731,-8.768000000000015,0,1000,0.0,0.0,684,99,137,853
1732,136.5220000000004,5,1000,0.625,0.0,586,71,92,620
1733,5.184000000000171,1,1000,0.125,0.0,679,123,57,544
1734,-20.783999999999992,0,1000,0.0,0.0,403,89,41,556
1735,63.47399999999665,3,1000,0.375,0.0,138,17,46,247
1736,41.245999999999626,2,1000,0.25,0.0,613,64,108,593
1737,98.39599999999842,4,1000,0.5,0.0,719,48,126,485
1738,-42.581999999999994,0,1000,0.0,0.0,310,6,81,250
1739,-34.68999999999994,0,1000,0.0,0.0,152,1,69,330
1740,-34.7119999999999,0,1000,0.0,0.0,297,19,72,359
1741,9.288000000000082,1,1000,0.125,0.0,650,104,103,620
1742,132.83800000000033,5,1000,0.625,0.0,1061,120,112,575
1743,73.73599999999911,3,1000,0.375,0.0,287,48,92,696
1744,82.83199999999836,3,1000,0.375,0.0,351,37,122,726
1745,87.11799999999833,3,1000,0.375,0.0,285,55,115,743
1746,4.780000000000158,1,1000,0.125,0.0,552,54,159,678
1747,79.47399999999875,3,1000,0.375,0.0,429,50,108,767
1748,72.81199999999905,3,1000,0.375,0.0,446,48,112,612
1749,71.94599999999885,3,1000,0.375,0.0,522,31,119,556
1750,69.11399999999918,3,1000,0.375,0.0,340,47,117,670
1751,74.00599999999865,3,1000,0.375,0.0,579,70,120,588
1752,-8.1,0,1000,0.0,0.0,456,68,115,748
1753,-27.753999999999984,0,1000,0.0,0.0,515,43,146,620
1754,-38.00200000000008,0,1000,0.0,0.0,587,28,139,500
1755,25.800000000000363,1,1000,0.125,0.0,600,123,133,976
1756,-10.009999999999994,0,1000,0.0,0.0,707,104,137,878
1757,-19.54999999999976,0,1000,0.0,0.0,1261,111,108,504
1758,-3.046000000000013,0,1000,0.0,0.0,951,142,138,882
1759,-19.967999999999932,0,1000,0.0,0.0,638,115,115,858
1760,-9.297999999999988,0,1000,0.0,0.0,393,112,115,1070
1761,3.9919999999999973,0,1000,0.0,0.0,826,148,135,1065
1762,-8.456000000000016,0,1000,0.0,0.0,382,111,118,975
1763,6.394000000000012,0,1000,0.0,0.0,241,92,108,1163
1764,-3.6439999999999952,0,1000,0.0,0.0,604,100,106,912
1765,-11.497999999999983,0,1000,0.0,0.0,959,135,109,605
1766,-23.603999999999868,0,1000,0.0,0.0,784,134,101,685
1767,-14.109999999999925,0,1000,0.0,0.0,654,121,62,608
1768,-2.6780000000000186,0,1000,0.0,0.0,1083,140,126,712
1769,-9.219999999999992,0,1000,0.0,0.0,623,136,53,599
1770,-10.959999999999967,0,1000,0.0,0.0,941,147,101,771
1771,-34.88199999999949,0,1000,0.0,0.0,1320,145,117,465
1772,-35.24799999999949,0,1000,0.0,0.0,1115,152,68,402
1773,-32.495999999999455,0,1000,0.0,0.0,1257,146,104,452
1774,-25.737999999999563,0,1000,0.0,0.0,788,113,110,524
1775,-24.317999999999582,0,1000,0.0,0.0,588,82,62,450
1776,11.414000000000568,1,1000,0.125,0.0,821,100,122,629
1777,-13.853999999999896,0,1000,0.0,0.0,581,122,85,761
1778,10.98200000000039,1,1000,0.125,0.0,580,64,103,574
1779,-4.060000000000006,0,1000,0.0,0.0,441,109,96,901
1780,-2.503999999999995,0,1000,0.0,0.0,322,99,101,1210
1781,20.260000000000314,1,1000,0.125,0.0,554,116,108,819
1782,18.15000000000058,1,1000,0.125,0.0,683,98,96,754
1783,51.18600000000001,2,1000,0.25,0.0,868,110,93,622
1784,-3.5660000000000145,0,1000,0.0,0.0,942,116,135,855
1785,-6.360000000000015,0,1000,0.0,0.0,395,62,105,832
1786,-11.38599999999991,0,1000,0.0,0.0,747,109,126,764
1787,-5.3240000000000185,0,1000,0.0,0.0,752,110,117,817
1788,-16.063999999999766,0,1000,0.0,0.0,928,130,138,734
1789,-16.065999999999867,0,1000,0.0,0.0,643,114,112,675
1790,-14.617999999999865,0,1000,0.0,0.0,514,91,82,590
1791,11.070000000000158,1,1000,0.125,0.0,541,80,108,598
1792,-16.209999999999848,0,1000,0.0,0.0,560,89,78,582
1793,-20.487999999999694,0,1000,0.0,0.0,549,92,65,519
1794,-20.59999999999974,0,1000,0.0,0.0,526,91,58,584
1795,-20.509999999999756,0,1000,0.0,0.0,602,76,82,518
1796,-15.047999999999806,0,1000,0.0,0.0,514,89,79,670
1797,-31.23399999999959,0,1000,0.0,0.0,501,93,76,480
1798,41.564000000000085,2,1000,0.25,0.0,993,136,115,658
1799,177.73400000000004,6,1000,0.75,0.0,691,102,121,722
1800,69.92599999999734,3,1000,0.375,0.0,677,89,109,504
1801,-17.805999999999855,0,1000,0.0,0.0,886,101,122,744
1802,7.6620000000001225,1,1000,0.125,0.0,728,80,101,598
1803,-16.341999999999814,0,1000,0.0,0.0,598,91,101,628
1804,-21.10599999999962,0,1000,0.0,0.0,645,124,99,686
1805,1.6419999999999821,0,1000,0.0,0.0,807,114,123,838
1806,107.25000000000006,3,1000,0.375,0.0,465,81,126,972
1807,11.278000000000006,0,1000,0.0,0.0,388,115,87,980
1808,-5.000000000000003,0,1000,0.0,0.0,456,102,69,761
1809,-8.641999999999994,0,1000,0.0,0.0,502,102,89,704
1810,-10.6119999999999,0,1000,0.0,0.0,380,75,47,585
1811,-0.860000000000016,0,1000,0.0,0.0,391,91,83,839
1812,-59.60000000000041,0,1000,0.0,0.0,333,23,61,274
1813,-8.251999999999995,0,1000,0.0,0.0,514,101,66,695
1814,-7.008000000000012,0,1000,0.0,0.0,391,100,70,712
